Assignee_Name,AC
HK Invent Inc.,Invent Hong Kong Ltd.
Hoechst Aktiengesellschaft,Hoechst Ag
"Hoechst Research & Technology Deutschland GmbH & Co., KG","Hoechst Research & Technology Deutschland Gmbh & Co., Kg"
Hoescht Research & Technology Deutschland GmbH & Co. KG,"Hoechst Research & Technology Deutschland Gmbh & Co., Kg"
Hoganas AB,Hoganas Ab
"Hoku Scientific, Inc.","Hoku Scientific, Inc."
"Hoku Scientific, Inc. - A Delaware Corp.","Hoku Scientific, Inc."
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co.,Ltd."
Honda Giken Kabushiki Kaisha,Honda Giken Kogyo Kahushiki Kaisha
Honda Giken Kogyo Kabushiki Kaisha,Honda Giken Kogyo Kahushiki Kaisha
Honda Giken Kogyo Kahushiki Kaisha,Honda Giken Kogyo Kahushiki Kaisha
Honda Gikn Kogyo Kabushiki Kaisha,Honda Giken Kogyo Kahushiki Kaisha
HONDA MOTOR CO. LTD.,"Honda Motor Co., Ltd."
"Honda Motor Co., Ltd","Honda Motor Co., Ltd."
"Honda Motor Co., Ltd.","Honda Motor Co., Ltd."
"Honda Motor Co.,Ltd.","Honda Motor Co., Ltd."
Honeywell International Inc.,Honeywell International Inc.
"Honeywell International, Inc.",Honeywell International Inc.
HORIZON FUEL CELL TECHNOLOGIES PTE. LTD,Horizon Fuel Cell Technologies Pte. Ltd.
Horizon Fuel Cell Technologies Pte. Ltd.,Horizon Fuel Cell Technologies Pte. Ltd.
HP Indigo B.V.,Hp Indigo B.V.
H-Power Corp.,H-Power Corp.
H-Power Corporation,H-Power Corp.
"HPV TECHNOLOGIES, INC.",H-Power Corp.
"HRL Laboratories, LLC","Hrl Laboratories, Llc"
HTCERAMIX S.A.,Htceramix S.A.
H-tec Wasserstoff-energie-systeme GMBH,H-Tec Wasserstoff-Energie-Systeme Gmbh
HUA QIAO UNIVERSITY,Huaqiao University
Huaqiao University,Huaqiao University
"HUAWEI TECHNOLOGIES CANADA CO., LTD.","Huawei Technologies Canada Co., Ltd."
"HUAWEI TECHNOLOGIES CO., LTD.","Huawei Technologies Co., Ltd."
Huazhong University of Science and Technology,Huazhong University Of Science And Technology
Humboldt State University Foundation,Humboldt State University Foundation
"Hunan Sanfeng Vanadium Industry Co., Ltd.","Hunan Sanfeng Vanadium Industry Co., Ltd."
Huntsman International LLC,Huntsman International Llc
Hutchinson,Hutchinson
HUYNDAI MOTOR COMPANY,Huyndai Motor Co
"Hybrid Power Generation System, LLC","Hybrid Power Generation Systems, Llc"
"Hybrid Power Generation Systems, LLC","Hybrid Power Generation Systems, Llc"
Hydro - Quebec,Hydro-Québec
Hydro Quebec,Hydro-Québec
"Hydrogen Burner Technology, Inc.","Hydrogen Burner Technology, Inc."
HYDROGENICS CORPORATION,Hydrogenics Corp
Hydro-Quebec,Hydro-Québec
HYDRO-QUÉBEC,Hydro-Québec
Hydro-Quebec Corporation,Hydro-Québec
"Hydro-Quebec, 75 boulevard Rene-Levesque Ouest, 9e Etage",Hydro-Québec
"HyEnergy Systems, Inc.",Hy-Energy Systems Inc.
"Hyteon, Inc.","Hyteon, Inc."
"Hyundai Electric & Energy Systems Co., Ltd.","Hyundai Electric & Energy Systems Co., Ltd."
"Hyundai Heavy Industries Co., Ltd.","Hyundai Heavy Industries Co., Ltd."
Hyundai Motor Company,Hyundai Motor Co
IAV GMBH INGENIEURGESELLSCHAFT AUTO UND VERKEHR,Iav Gmbh Ingenieurgesellschaft Auto Und Verkehr
"IDEMISTU KOSAN CO., LTD.","Idemitsu Kosan Co.,Ltd."
"IDEMITSU KOSAN CO.,  LTD.","Idemitsu Kosan Co.,Ltd."
"Idemitsu Kosan Co., Ltd","Idemitsu Kosan Co.,Ltd."
"IDEMITSU KOSAN CO., LTD.","Idemitsu Kosan Co.,Ltd."
"IDEMITSU KOSAN CO.,LTD.","Idemitsu Kosan Co.,Ltd."
"IDEMITSU PETROCHEMICAL CO., LTD","Idemitsu Petrochemical Co., Ltd."
"Idemitsu Petrochemical Co., Ltd.","Idemitsu Petrochemical Co., Ltd."
IGR Enterprises,Igr Enterprises Inc
"IGR Enterprises, Inc.",Igr Enterprises Inc
Ilika Technologies Limited,Ilika Technologies Ltd.
Ilika Technologies Ltd.,Ilika Technologies Ltd.
"ILJIN MATERIALS CO., LTD.","Iljin Materials Co., Ltd."
Illinois Inst of Technology,Illinois Institute Of Technology
Illinois Institute of Technology,Illinois Institute Of Technology
Imam Abdulrahman Bin Faisal University,Imam Abdulrahman Bin Faisal University
IMEC vzw,Imec Vzw
Immersion Corporation,Immersion Corp
Imperial Chemical Industries PLC,Imperial Chemical Industries Plc
IMPERIAL INNOVATIONS LIMITED,Imperial Innovations Ltd
Imprint Energy Inc,Imprint Energy Inc
"Imprint Energy, Inc.",Imprint Energy Inc
INCORPORATED NATIONAL UNIVERSITY IWATE UNIVERSITY,Incorped National University Iwate University
Indian Institute of Technology Bombay,Indian Institute Of Technology Bombay
INDIAN INSTITUTE OF TECHNOLOGY MADRAS,Indian Institute Of Technology Madras
Indiana University Research and Technology Corp.,Indiana University Research And Technology Corp
Indiana University Research and Technology Corporation,Indiana University Research And Technology Corp
INDUSTRIAL TECHNOLOGY RESEARCH,Industrial Technology Research Institute
Industrial Technology Research Institute,Industrial Technology Research Institute
Industry Foundation of Chonnam National University,Industry Foundation Of Chonnam National University
Industry-University Cooperation Foundation Hanyang University,Industry-University Cooperation Foundation Hanyang University
INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS,Industry-University Cooperation Foundation Hanyang University
Industry-University Cooperation Foundation Sogang University,Industry-University Cooperation Foundation Sogang University
Industry-University Cooperation Foundation Songang University,Industry-University Cooperation Foundation Sogang University
Industry-University Coorporation Foundation Hanyang University,Industry-University Cooperation Foundation Sogang University
Inegrated Power Solutions Inc.,"Integrated Power Solutions, Inc."
Infineon Technologies AG,Infineon Technologies Ag
Infineon Technologies Dresden GmbH,Infineon Technologies Dresden Gmbh
Infineon Technologies Dresden GmbH & Co. KG,Infineon Technologies Dresden Gmbh & Co. Kg
INFINITE POWER SOLUTIONS,"Infinite Power Solutions, Inc."
"Infinite Power Solutions, Inc.","Infinite Power Solutions, Inc."
"Inifinite Power Solutions, Inc.","Infinite Power Solutions, Inc."
Innolith Technology AG,Innolith Technology Ag
Institut Francais du Petrole,Institut Francais Du Petrole
INSTITUT MINES TELECOM,Institut Mines-Telecom
Institut Mines-Telecom,Institut Mines-Telecom
INSTITUT NATIONAL DES SCIENCES APPLIQUEES,Institut National Des Sciences Appliquées
Institut National des Sciences Appliquées,Institut National Des Sciences Appliquées
Institut National Polytechnique de Grenoble,Institut National Polytechnique De Grenoble
INSTITUT POLYTECHNIQUE DE BORDEAUX,Institut Polytechnique De Bordeaux
INSTITUT POLYTECHNIQUE DE GRENOBLE,Institut National Polytechnique De Grenoble
Institute of Chemical Technology,Institute Of Chemical Technology
Institute of Gas Technology,Institute Of Gas Technology
"INSTITUTE OF NATIONAL COLLEGES OF TECHNOLOGY, JAPAN","Institute Of National Colleges Of Technology, Japan"
"INSTITUTE OF NUCLEAR ENERGY RESEARCH , ATOMIC ENERGY COUNCIL, EXECUTIVE YUAN, R.O.C.","Institute Of Nuclear Energy Research, Atomic Energy Council, Executive Yuan"
"INSTITUTE OF NUCLEAR ENERGY RESEARCH ATOMIC ENERGY COUNCIL, EXECUTIVE YUAN","Institute Of Nuclear Energy Research, Atomic Energy Council, Executive Yuan"
"Institute of Nuclear Energy Research, Atomic Energy Council, Executive Yuan","Institute Of Nuclear Energy Research, Atomic Energy Council, Executive Yuan"
"INSTITUTE OF NUCLEAR ENERGY RESEARCH, ATOMIC ENERGY COUNCIL, EXECUTIVE YUAN, R.O.C","Institute Of Nuclear Energy Research, Atomic Energy Council, Executive Yuan"
"INSTITUTE OF NUCLEAR ENERGY RESEARCH, ATOMIC ENERGY COUNCIL, Executive Yuan, R.O.C.","Institute Of Nuclear Energy Research, Atomic Energy Council, Executive Yuan"
Institute of Organic Chemistry National Academy of Sciences of Ukraine,"Institute Of Organic Chemistry, National Academy Of Science Of Ukraine"
"Institute of Organic Chemistry, National Academy of Science of Ukraine","Institute Of Organic Chemistry, National Academy Of Science Of Ukraine"
"INSTITUTE OF PHYSICS, CHINESE ACADEMY OF SCIENCES","Institute Of Process Engineering, Chinese Academy Of Sciences"
"INSTITUTE OF PROCESS ENGINEERING, CHINESE ACADEMY OF SCIENCES","Institute Of Process Engineering, Chinese Academy Of Sciences"
"INSTITUTE OF SYSTEMS, INFORMATION TECHNOLOGIES AND NANOTECHNOLOGIES","Institute Of Systems, Information Technologies And Nanotechnologies"
Intec Energy Storage Corp.,Intec Energy Storage Corp.
"Integrated Fuel Cell Technologies, Inc.","Integrated Fuel Cell Technologies, Inc."
Integrated Power Solutions Inc.,"Integrated Power Solutions, Inc."
"Integrated Power Solutions, Inc.","Integrated Power Solutions, Inc."
INTEL CORPORATION,Intel Corp
"INTELLECTUAL DISCOVERY CO., LTD.","Intellectual Discovery Co., Ltd."
Intelligent Energy Limited,Intelligent Energy Ltd
Intematix Corporation,Intematix Corp
Interatom GMBH,Interatom Gmbh
"Intermolecular, Inc.","Intermolecular, Inc."
International Busines Machines Corporation,International Business Machines Corp
International Business Machines Corporation,International Business Machines Corp
INTERNATIONAL CENTER FOR MATERIALS RESEARCH,International Center For Materials Research
International Fuel Cells,International Fuel Cells Corp.
International Fuel Cells Corp.,International Fuel Cells Corp.
International Fuel Cells Corporation,International Fuel Cells Corp.
International Fuel Cells LLC,International Fuel Cells Corp.
"International Fuel Cells, Corporation",International Fuel Cells Corp.
"International Fuel Cells, Inc.",International Fuel Cells Corp.
"International Fuel Cells, L.L.C.",International Fuel Cells Corp.
"International Fuel Cells, LLC",International Fuel Cells Corp.
"Interstellar Solid-State Li-ion Batteries Technology (Chengdu) Co., Ltd","Interstellar Solid-State Li-Ion Batteries Technology (Chengdu) Co., Ltd."
"Interstellar Solid-State Li-ion Batteries Technology (Chengdu) Co., Ltd.","Interstellar Solid-State Li-Ion Batteries Technology (Chengdu) Co., Ltd."
Invent Hong Kong Ltd.,Invent Hong Kong Ltd.
"Inventus Power, Inc.","Inventus Power, Inc."
Ion America Corporation,Ion America Corp
ION AMERICA CORPORATON,Ion America Corp
"Ionic Materials, Inc","Ionic Materials, Inc"
"Ionic Materials, Inc.","Ionic Materials, Inc"
Ionic Polymer Solutions Ltd,Ionic Polymer Solutions Ltd
IONOTEC LIMITED,Ionotec Ltd.
Ionotec Ltd.,Ionotec Ltd.
Iontech Systems AG,Iontech Systems Ag
Iowa State University Research Foundation Inc,"Iowa State University Research Foundation, Inc."
"Iowa State University Research Foundation, Inc.","Iowa State University Research Foundation, Inc."
"Ioxus, Inc.","Ioxus, Inc."
IRD Fuel Cell A/S,Ird Fuel Cell A/S
"Ishikawajima-Harima Heavy Industries Co., Ltd.","Ishikawajima-Harima Heavy Industries Co., Ltd."
I-TEN,I-Ten
ITM Power (Research) Limited,Itm Power (Research) Ltd
ITM Power (Research) Ltd.,Itm Power (Research) Ltd
ITM Power Ltd.,Itm Power (Research) Ltd
"ITM Semiconductor Co., Ltd","Itm Semiconductor Co., Ltd"
"ITM SEMICONDUCTOR CO., LTD.","Itm Semiconductor Co., Ltd"
"ITN Energy Systems, Inc.","Itn Energy Systems, Inc."
ITN Energy Systems. Inc.,"Itn Energy Systems, Inc."
Itochu Corporation,Itochu Corp
IUCF-HYU ( Industry-University Cooperation Foundation Hanyang University),Industry-University Cooperation Foundation Hanyang University
IUCF-HYU (INDUSTRY-UNIVERSITY COOPERATION FOUNDATI ON HANYANG UNIVERSITY),Industry-University Cooperation Foundation Hanyang University
IUCF-HYU (Industry-University Cooperation Foundation Hanyang Univeristy),Industry-University Cooperation Foundation Hanyang University
IUCF-HYU (INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY,Industry-University Cooperation Foundation Hanyang University
IUCF-HYU (INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY),Industry-University Cooperation Foundation Hanyang University
JACOBS UNIVERSITY BREMEN GGMBH,Jacobs University Bremen Ggmbh.
JACOBS UNIVERSITY BREMEN GMBH,Jacobs University Bremen Ggmbh.
"Jacuni Technology, Inc.","Jacuni Technology, Inc."
JAPAN ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,Japan Advanced Institute Of Science And Technology
JAPAN AEROSPACE EXPLORATION AGENCY,Japan Aerospace Exploration Agency
Japan Atomic Energy Agency,Japan Atomic Energy Agency
Japan Atomic Energy Research Institute,Japan Atomic Energy Research Institute
"Japan Exlan Company, Ltd.","Japan Exlan Co, Ltd."
Japan Fine Ceramics Center,Japan Fine Ceramics Center
"JAPAN FINE CERAMICS CO., LTD.",Japan Fine Ceramics Center
Japan Gore-Tex Inc.,"Japan Gore-Tex, Inc."
"Japan Gore-Tex, Inc.","Japan Gore-Tex, Inc."
JAPAN SCIENCE AND TECHNOLOGY AGENCY,Japan Science And Technology Agency
"Japan Storage Battery Co., Ltd.","Japan Storage Battery Co., Ltd."
"Japan Vilene Company, Ltd.","Japan Vilene Co, Ltd."
Jason Rugolo,Jason Rugolo
JENAX INC.,"Jenax, Inc."
"Jenax, Inc.","Jenax, Inc."
"JEONGKWAN CO., LTD","Jeongkwan Co., Ltd."
"JEONGKWAN Co., Ltd","Jeongkwan Display Co., Ltd."
"JEONGKWAN DISPLAY CO., LTD","Jeongkwan Display Co., Ltd."
"Jeongkwan Display Co., Ltd.","Jeongkwan Display Co., Ltd."
JFE Steel Corporation,Jfe Steel Corp
Jiangsu Huadong Institute of Li-ion Battery Co. Ltd.,"Jiangsu Huadong Institute Of Li-Ion Battery Co., Ltd. "
"Jiangsu Huadong Institute of Li-Ion Battery Co., Ltd.","Jiangsu Huadong Institute Of Li-Ion Battery Co., Ltd. "
"Jiangsu Huadong Institute of Li-Ion Battery Co., Ltd. ","Jiangsu Huadong Institute Of Li-Ion Battery Co., Ltd. "
JIANGSU UNIVERSITY,"Jiangsu Huadong Institute Of Li-Ion Battery Co., Ltd. "
"J-INNOTECH CO., LTD","J-Innotech Co., Ltd."
Johns Hopkins University,Johns Hopkins University
Johns Manville,Johns Manville
"Johnson & Johnson Vision Care, Inc.","Johnson & Johnson Vision Care, Inc."
"Johnson Battery Technologies, Inc.","Johnson Battery Technologies, Inc."
Johnson Controls Technology Company,Johnson Controls Technology Llc
Johnson Controls Technology LLC,Johnson Controls Technology Llc
"Johnson IP Holding, Inc.","Johnson Ip Holding, Llc"
"Johnson IP Holding, LLC","Johnson Ip Holding, Llc"
"Johnson IP Holding, LLC.","Johnson Ip Holding, Llc"
Johnson Matthey Fuel Cells Limited,Johnson Matthey Fuel Cells Ltd
Johnson Matthey PLC,Johnson Matthey Public Ltd Co
Johnson Matthey Public Limited Company,Johnson Matthey Public Ltd Co
"Johnson Research & Development Co., Inc.","Johnson Research & Development Co., Inc."
"JOHNSON RESEARCH & DEVELOPMENT COMPANY, INC.","Johnson Research & Development Co., Inc."
"Johnson Research &Amp; Development Co., Inc.","Johnson Research &Amp; Development Co., Inc."
Jordan Green Technology Dg Co ltd.,Jordan Green Technology Dg Co Ltd.
"JORDAN GREEN TECHNOLOGY(DG) CO., LTD.",Jordan Green Technology Dg Co Ltd.
JSP CORPORATION,Jsr Corp
JSR Corporation,Jsr Corp
JX Nippon Mining & Metals Corporation,Jx Nippon Mining & Metals Corp
Kabushiki Kaisha Asumitec,Atsumitec Co. Ltd.
Kabushiki Kaisha Atsumitec,Atsumitec Co. Ltd.
Kabushiki Kaisha Equos Research,Kabushikikaisha Equos Research
Kabushiki Kaisha Meidensha,Meidensha Corp.
Kabushiki Kaisha Nihon Micronics,"Micronics Japan Co.,Ltd."
Kabushiki Kaisha Ohara,Ohara Inc.
KABUSHIKI KAISHA SENRYOU,Kabushiki Kaisha Senryou
KABUSHIKI KAISHA TOSHIB,Toshiba Corp.
Kabushiki Kaisha Toshiba,Toshiba Corp.
Kabushiki Kaisha Toyoda Jidoshokki Seisakusho,Toyota Motor Corp
KABUSHIKI KAISHA TOYOTA CHUO,K.K. Toyota Chuo Kenkyusho
Kabushiki Kaisha Toyota Chuo Kenkyusho,K.K. Toyota Chuo Kenkyusho
KABUSHIKI KAISHA TOYOTA JIDOSHOKKI,Toyota Motor Corp
Kabushikikaisha Eqous Research,Kabushikikaisha Equos Research
Kabushikikaisha Equos Research,Kabushikikaisha Equos Research
Kabusikikaisha Equos Research,Kabushikikaisha Equos Research
Kai Motors Corporation,Kai Motors Corp
"KalpTree Energy, Inc.","Kalptree Energy, Inc."
KANAGAWA INSTITUTE OF INDUSTRIAL SCIENCE AND TECHNOLOGY,Kanagawa Institute Of Industrial Science And Technology 
Kanagawa Institute of Industrial Science and Technology ,Kanagawa Institute Of Industrial Science And Technology 
Kaneka Corporation,Kaneka Corp
"KANG NA HSIUNG ENTERPRISE CO., LTD.","Kang Na Hsiung Enterprise Co., Ltd."
"KANSAI PAINT CO., LTD.","Kansai Paint Co.,Ltd."
"Kanto Denka Kogyo Co., Ltd.","Kanto Denka Kogyo Co., Ltd."
Kanto Kagaku Kabushiki Kaisha,Kanto Kagaku K.K.
Karlsruhe Institute of Technology,Karlsruhe Institute Of Technology
KARLSRUHER INSTITUT FUER TECHNOLOGIE,Karlsruhe Institute Of Technology
"Katayama Special Industries, Ltd.","Katayama Special Industries, Ltd."
KATHOLIEKE UNIVERSITEIT LEUVEN,Katholieke Universiteit Leuven
Katholieke Universiteit Leuven Research & Development,Katholieke Universiteit Leuven Research & Development
"Katholieke Universiteit Leuven, KU Leuven R&D",Katholieke Universiteit Leuven Research & Development
Kawabi & Associates,Kawabi & Associates
"Kawada Industries, Inc.","Kawada Industries, Inc."
KAWASAKAI JUKOGYO KABUSHIKI KAISHA,"Kawasaki Heavy Industries, Ltd."
Kawasaki Jukogyo Kabushiki Kaisha,"Kawasaki Heavy Industries, Ltd."
Kawasaki Steel Corporation,Kawasaki Steel Corp
"KCERACELL CO., LTD.","Kceracell Co., Ltd."
"KCF TECHNOLOGIES CO., LTD.","Kcf Technologies Co.,Ltd."
KeraCel Inc.,Keracel Inc.
"KERACEL, INC.",Keracel Inc.
Kernforschungszentrum Julich GmbH,Kernforschungszentrum Julich Gmbh
Kerr-McGee Corporation,Kerr-Mcgee Corp
KHETHWORKS PRIVATE LIMITED,Khethworks Private Ltd.
Khethworks Private Limited.,Khethworks Private Ltd.
Kia Corporation,Kia Motors Corp
KIA Motors Coporation,Kia Motors Corp
Kia Motors Corporation,Kia Motors Corp
KING FAHD UNIVERSITY OF PETROLEUM AND MINERALS,King Fahd University Of Petroleum And Minerals
Kiyoshi KANAMURA,Kiyoshi Kanamura
"KOBELCO RESEARCH INSTITUTE, INC.","Kobelco Research Institute,Inc."
KOEA INSTITUTE OF ENERGY RESEARCH,Korea Institute Of Energy Research
Kogakuin University,Kogakuin University
KOJIMA INDUSTRIES CORPORATION,Kojima Industries Corp
"Kokam Engineering Co., Ltd.","Kokam Engineering Co., Ltd."
"KOLON INDUSTRIES, INC.","Kolon Industries, Inc."
"Konica Minolta Holdings, Inc.","Konica Minolta Holdings, Inc."
"Konica Minolta, Inc.","Konica Minolta Holdings, Inc."
Koninklijke Philips Electronics N.V.,Koninklijke Philips Electronics N.V.
"KONINKLIJKE PHILIPS ELECTRONICS, N.V.",Koninklijke Philips Electronics N.V.
KONKUK UNIVERSITY INDUSTRIAL COOPERATION CORP.,Konkuk University Industrial Cooperation Corp.
Korea Advanced Institute of Science and Technology,Korea Advanced Institute Of Science And Technology
Korea Chungang Educational Foundation,Korea Chungang Educational Foundation
KOREA ELECTRONICS TECHNOLOGY INSTITUTE,Korea Electronics Technology Institute
KOREA INSTITUTE OF ENERGY RESEARCH,Korea Institute Of Energy Research
Korea Institute of Industrial Technology,Korea Institute Of Industrial Technology
Korea Institute of Ocean Science & Technology,Korea Institute Of Ocean Science & Technology
Korea Institute of Science & Technology,Korea Institute Of Science And Technology
Korea Institute of Science and Technologies,Korea Institute Of Science And Technology
Korea Institute of Science and Technology,Korea Institute Of Science And Technology
"Korea Kumho Petrochemical Co., Ltd.","Korea Kumho Petrochemical Co., Ltd."
Korea Research Institute,Korea Research Institute Of Chemical Technology
Korea Research Institute of Chemical Technology,Korea Research Institute Of Chemical Technology
KOREA UNIVERSITY OF TECHNOLOGY AND EDUCATION INDUSTRY-UNIVERSITY COOPERATION FOUNDATION,Korea University Of Technology And Education Industry-University Cooperation Foundation
KOREA UNIVERSITY RESEARCH AND BUSINESS FOUNDATION,Korea University Research And Business Foundation
Korean Chungang Educational Foundation,Korea Chungang Educational Foundation.
Korean Institute of Science and Technology,Korea Institute Of Science And Technology
Kratos L.L.C.,Kratos L.L.C.
KRATOS LLC,Kratos L.L.C.
"KT Holdings, LLC","Kt Holdings, Llc"
Kubota Corp.,Kubota Corp.
Kubota Corporation,Kubota Corp.
Kumoh National Institute of Technology,Kumoh National Institute Of Technology
KUMOH NATIONAL INSTITUTE OF TECHNOLOGY INDUSTRY-ACADEMIC COOPERATION FOUNDATION,Kumoh National Institute Of Technology
"Kuraray Co., Ltd","Kuraray Co., Ltd."
"Kuraray Co., Ltd.","Kuraray Co., Ltd."
KURASHIKI BOSEKI KABUSHIKI KAISHA,Kurashiki Boseki K.K.
Kureha Corporation,Kureha Corp
Kureha Kagaku Kogyo Kabushiki Kaisha,Kureha Corp
Kureha Kaguka Kogyo Kabushiki Kaisha,Kureha Corp
Kyocera Corporation,Kyocera Corp
"KYOHO MACHINE WORKS, LTD.","Kyoho Machine Works, Ltd."
Kyoto University,Kyoto University
Kyushu University,Kyoto University
"Kyushu University, National University Corporation","Kyushu University, National University Corp"
L&apos;Air Liquide - Societe Anonyme a Directoire et Conseil de Surveillance pour l&apos;Etude et l&apos;Exploitation des Procedes Georges Claude,L'Air Liquide Age Pour L'Etude Et L'Exploitation Des Procedes Georges Claude
LABORATORIO NACIONAL DE ENERGIA E GEOLOGIA,Laboratorio Nacional De Energia E Geologia
LABORATÓRIO NACIONAL DE ENERGIA E GEOLOGIA,Laboratório Nacional De Energia E Geologia 
LANXESS DEUTSCHLAND GMBH,Lanxess Deutschland Gmbh
"Lawrence Livermore National Security, LLC","Lawrence Livermore National Security, Llc."
"Lawrence Livermore National Security, LLC.","Lawrence Livermore National Security, Llc."
Le Carbone Lorraine,Le Carbone Lorraine
Le Centre National de la Recherche Scientifique,Centre National De La Recherche Scientifique
Leeds Lithium Power Limited,Leeds Lithium Power Ltd
LEIBNIZ-INSTITUT FUER FESTKOERPER-UND WERKSTOFFFORSCHUNG DRESDEN E.V,Leibniz-Institut Für Festkörper- Und Werkstoffforschung Dresden E. V.
LEIBNIZ-INSTITUT FUER FESTKOERPER-UND WERKSTOFFFORSCHUNG DRESDEN E.V.,Leibniz-Institut Für Festkörper- Und Werkstoffforschung Dresden E. V.
Leibniz-Institut fuer Polymerforschung Dresden E.V.,Leibniz-Institut Für Polymerforschung Dresden E. V.
Leland Stanford Junior University,Leland Stanford Junior University
Lenovo (Singapore) Pte. Ltd.,Lenovo Singapore Pte. Ltd.
L'Etat Francais represente par le Delegue General pour l'Armement,L'Etat Francais Represente Par Le Delegue General Pour L'Armement
Lexcel Technology Limited,Lexcel Technology Ltd
Lexcel Technology Ltd,Lexcel Technology Ltd
l'Exploitation des Procedes Georges Claude,L'Etat Francais Represente Par Le Delegue General Pour L'Armement
"LG Cham, Ltd.","Lg Chem, Ltd."
LG Chem Ltd.,"Lg Chem, Ltd."
"LG Chem, Ltd","Lg Chem, Ltd."
"LG Chem, Ltd.","Lg Chem, Ltd."
"LG CHEM,LTD.","Lg Chem, Ltd."
LG Chem. Ltd.,"Lg Chem, Ltd."
"LG Chemical Co., Ltd.","Lg Chem, Ltd."
"LG Chemical Co., Ltd.","Lg Chemical Co., Ltd."
"LG ENERGY SOLUTION, LTD.","Lg Energy Solution, Ltd."
LG Fuel Cell Systems Inc.,Lg Fuel Cell Systems Inc.
"LG Fuel Cell Systems, Inc.",Lg Fuel Cell Systems Inc.
LGZ Landis & Gyr Zug A.G.,Lgz Landis & Gyr Zug A.G.
Lifesize AB,Lifesize Ab
"Lilliputian Systems, Inc.","Lilliputian Systems, Inc."
Lina Energy Ltd.,Lina Energy Ltd.
LINTEC CORPORATION,Lintec Corp
Lionano Inc.,Lionano Inc.
Lionano SE Inc.,Lionano Se Inc.
"Liox Power, Inc.","Liox Power, Inc."
Li-Tec Battery GmbH,Li-Tec Battery Gmbh
Li-Tech Battery GmbH,Li-Tec Battery Gmbh
Lithdyne International,Lithdyne International
Lithium Energy and Power GmbH & Co. KG,Lithium Energy And Power Gmbh & Co. Kg
Lithium Power,Lithium Power International Ltd.
"Lithium Power Technologies, Inc.","Lithium Power Technologies, Inc."
Lithium Technology Corporation,Lithium Technology Corp
LITTELFUSE JAPAN G.K.,Littelfuse Japan G.K.
"Litton Systems, Inc.","Litton Systems, Inc."
LNEG-LABORATORIO NACIONAL DE ENEGIA E GEOLOGIA,Laboratório Nacional De Energia E Geologia 
LNEG-LABORATORIO NACIONAL DE ENERGIA E GEOLOGIA,Laboratório Nacional De Energia E Geologia
Lockheed Idaho Technologies Company,Lockheed Martin Idaho Technologies Co
"Lockheed Martin Advanced Energy Storage, LLC","Lockheed Martin Advanced Energy Storage, Llc"
Lockheed Martin Corporation,Lockheed Martin Corp
Lockheed Martin Energy Research Corporation,"Lockheed Martin Energy, Llc"
"Lockheed Martin Energy, LLC","Lockheed Martin Energy, Llc"
"Lockheed Missiles & Space Company, Inc.","Lockheed Missiles & Space Co, Inc."
Los Alamos National Security LLC,"Los Alamos National Security, Llc"
"Los Alamos National Security, LLC","Los Alamos National Security, Llc"
LOTTE CHEMICAL CORPORATION,Lotte Chemical Corp
Loughborough University of Technology,Loughborough University Of Technology
Low Emission Resources Corporation,Low Emission Resources Corp
Low Emissions Resources Corporation,Low Emission Resources Corp
LS Mtron Ltd.,"Ls Mtron Co., Ltd."
l-TEN,I-Ten
"Lubrizol Advanced Materials, Inc.","Lubrizol Advanced Materials, Inc."
"LUNATECH, LLC","Luna Tech, Llc"
"Lynntech Power Systems, Ltd.","Lynntech Power Systems, Ltd."
"Lynntech, Inc.","Lynntech, Inc."
"LytEn, Inc.","Lyten, Inc."
MAGNA STEYR Fahrzeugtechnik AG & Co KG,Magna Steyr Fahrzeugtechnik Ag & Co Kg
Magnet-Motor Gesellschaft f&uuml;r Magnetmotorische Technik mbH,Magnet-Motor Gesellschaft Fur Magnetmotorische Technik Mbh
MAKITA CORPORATION,Makita Corp
Mamoru Baba,Mamoru Baba
"Manhattan Scientifics, Inc.","Manhattan Scientifics, Inc."
Mannesmann AG,Mannesmann Ag
Marelli Corporation,Marelli Corp
"Martin Marietta Energy Systems, Inc.","Martin Marietta Energy Systems, Inc."
Marvick FuelCells Ltd.,Marvick Fuelcells Ltd.
Maschinenfabrik Reinhausen GmbH,Maschinenfabrik Reinhausen Gmbh
Masdar Institute of Science and Technology,Masdar Institute Of Science And Technology
MASSACHUSETTES INSTITUTE OF TECHNOLOGY,Massachusetts Institute Of Technology
Massachusetts Institute of Technology,Massachusetts Institute Of Technology
Materials and Separation Technology International Limited,Materials And Separation Technology International Ltd
"Materials and Systems Research, Inc.","Materials And Systems Research, Inc."
"Matshushita Electric Industrial Co., Ltd.","Matsushita Electric Industrial Co., Ltd."
MATSUSHITA ELECTRIC INDUSTRIAL CO. LTD,"Matsushita Electric Industrial Co., Ltd."
Matsushita Electric Industrial Co. Ltd.,"Matsushita Electric Industrial Co., Ltd."
"Matsushita Electric Industrial Co., Ltd","Matsushita Electric Industrial Co., Ltd."
